"VFL","AFL","White Sport Keyword"
"PGA","Golf","White Sport Keyword"
"Footy","AFL","White Sport Keyword"
"SANFL","AFL","White Sport Keyword"
"ATP","Tennis","White Sport Keyword"
"EPL","Soccer","White Sport Keyword"
"SPL","Soccer","White Sport Keyword"
"WTA","Tennis","White Sport Keyword"
"FIFA","Soccer","White Sport Keyword"
"IPL","Cricket","White Sport Keyword"
"ODI","Cricket","White Sport Keyword"
"T20","Cricket","White Sport Keyword"
"TAC Cup","AFL","White Sport Keyword"
"UEFA","Soccer","White Sport Keyword"
"Bike","Cycling","White Sport Keyword"
"Fins","Surfing","White Sport Keyword"
"Fish","Fishing","White Sport Keyword"
"Horse","Racing","White Sport Keyword"
"MLB","Baseball","White Sport Keyword"
"Surf","Surfing","White Sport Keyword"
"UFC","Fighting","White Sport Keyword"
"WWE","Fighting","White Sport Keyword"
"FA Cup","Soccer","White Sport Keyword"
"Angler","Fishing","White Sport Keyword"
"Fight","Fighting","White Sport Keyword"
"Fishin","Fishing","White Sport Keyword"
"Foxtel Cup","AFL","White Sport Keyword"
"Ligue 1","Soccer","White Sport Keyword"
"NBA","Basketball","White Sport Keyword"
"NBL","Basketball","White Sport Keyword"
"NHL","Ice Hockey","White Sport Keyword"
"Pro Box","Boxing","White Sport Keyword"
"Raceday","Racing","White Sport Keyword"
"Serie A","Soccer","White Sport Keyword"
"A-League","Soccer","White Sport Keyword"
"Euro Cup","Soccer","White Sport Keyword"
"F1","Motor Sports","White Sport Keyword"
"FIVB","Volleyball","White Sport Keyword"
"IRB","Rugby Union","White Sport Keyword"
"J-League","Soccer","White Sport Keyword"
"Karate","Fighting","White Sport Keyword"
"NCAA","Basketball","White Sport Keyword"
"One Day","Cricket","White Sport Keyword"
"Pool","Cue Sports","White Sport Keyword"
"RWC","Rugby Union","White Sport Keyword"
"V8","Motor Sports","White Sport Keyword"
"W-League","Soccer","White Sport Keyword"
"4WD","Motor Sports","White Sport Keyword"
"Big Bash","Cricket","White Sport Keyword"
"Bowls","Lawn Bowls","White Sport Keyword"
"Cox Plate","Racing","White Sport Keyword"
"Davis Cup","Tennis","White Sport Keyword"
"Euro 2012","Soccer","White Sport Keyword"
"GT1","Motor Sports","White Sport Keyword"
"NRL","Rugby League","White Sport Keyword"
"Racenight","Racing","White Sport Keyword"
"Rip Curl","Surfing","White Sport Keyword"
"Trackside","Racing","White Sport Keyword"
"Trackwork","Racing","White Sport Keyword"
"Twenty20","Cricket","White Sport Keyword"
"Wimbledon","Tennis","White Sport Keyword"
"WRC","Motor Sports","White Sport Keyword"
"Arsenal TV","Soccer","White Sport Keyword"
"Billabong","Surfing","White Sport Keyword"
"Bundesliga","Soccer","White Sport Keyword"
"Chelsea TV","Soccer","White Sport Keyword"
"EllisMania","Boxing","White Sport Keyword"
"Eredivisie","Soccer","White Sport Keyword"
"Ironman","Triathlon","White Sport Keyword"
"Kart","Motor Sports","White Sport Keyword"
"Moto","Motor Sports","White Sport Keyword"
"NHRA","Motor Sports","White Sport Keyword"
"Right Odds","Racing","White Sport Keyword"
"WTCC","Motor Sports","White Sport Keyword"
"ANDRA","Motor Sports","White Sport Keyword"
"Bred to Win","Racing","White Sport Keyword"
"Carling Cup","Soccer","White Sport Keyword"
"French Open","Tennis","White Sport Keyword"
"Natsiba","Basketball","White Sport Keyword"
"Shui on China","Golf","White Sport Keyword"
"Snooker","Cue Sports","White Sport Keyword"
"Wrestling","Fighting","White Sport Keyword"
"Champions Tour","Golf","White Sport Keyword"
"Copa America","Soccer","White Sport Keyword"
"Emirates Cup","Soccer","White Sport Keyword"
"ITM Cup","Rugby Union","White Sport Keyword"
"JBWere Masters","Golf","White Sport Keyword"
"Liverpool TV","Soccer","White Sport Keyword"
"MotoGP","Motor Sports","White Sport Keyword"
"NASCAR","Motor Sports","White Sport Keyword"
"Presidents Cup","Golf","White Sport Keyword"
"Punting Club","Racing","White Sport Keyword"
"Spanish Liga","Soccer","White Sport Keyword"
"Total Trials","Racing","White Sport Keyword"
"Auto GP","Motor Sports","White Sport Keyword"
"Billiards","Cue Sports","White Sport Keyword"
"Black Bookers","Racing","White Sport Keyword"
"Indycar","Motor Sports","White Sport Keyword"
"Karting","Motor Sports","White Sport Keyword"
"Le Mans","Motor Sports","White Sport Keyword"
"M1 Selections","Boxing","White Sport Keyword"
"Melbourne Cup","Racing","White Sport Keyword"
"Moto GP","Motor Sports","White Sport Keyword"
"Nationwide Tour","Golf","White Sport Keyword"
"Superkombat","Fighting","White Sport Keyword"
"Thoroughbreds","Racing","White Sport Keyword"
"6 Nations","Rugby Union","White Sport Keyword"
"Barrier Trials","Racing","White Sport Keyword"
"Bledisloe","Rugby Union","White Sport Keyword"
"DTM 2011","Motor Sports","White Sport Keyword"
"Inside Running","Racing","White Sport Keyword"
"Martial Arts","Fighting","White Sport Keyword"
"NFL","American Football","White Sport Keyword"
"Premier League","Soccer","White Sport Keyword"
"Pro Bull Riding","Rodeo","White Sport Keyword"
"Speedway","Motor Sports","White Sport Keyword"
"The Early Mail","Racing","White Sport Keyword"
"The Grid","Motor Sports","White Sport Keyword"
"ASP World Tour","Surfing","White Sport Keyword"
"Champions Classic","Golf","White Sport Keyword"
"Currie Cup","Rugby Union","White Sport Keyword"
"Formula 1","Motor Sports","White Sport Keyword"
"Ping Pong","Table Tennis","White Sport Keyword"
"Speedweek","Motor Sports","White Sport Keyword"
"Spring Classics","Racing","White Sport Keyword"
"Superbike","Motor Sports","White Sport Keyword"
"Supercars","Motor Sports","White Sport Keyword"
"Supermoto","Motor Sports","White Sport Keyword"
"Tour de France","Cycling","White Sport Keyword"
"Big Bash League","Cricket","White Sport Keyword"
"International Rules","AFL","White Sport Keyword"
"Moto Cross","Motor Sports","White Sport Keyword"
"Motorsport","Motor Sports","White Sport Keyword"
"Primera Division","Soccer","White Sport Keyword"
"Shanghai Masters","Tennis","White Sport Keyword"
"Six Nations","Rugby Union","White Sport Keyword"
"Sports Car","Motor Sports","White Sport Keyword"
"Sprintcars","Motor Sports","White Sport Keyword"
"Super Rugby","Rugby Union","White Sport Keyword"
"The Catching Pen","Racing","White Sport Keyword"
"Total Rugby","Rugby Union","White Sport Keyword"
"Tour of Beijing","Cycling","White Sport Keyword"
"Toyota Cup","Rugby League","White Sport Keyword"
"Tri Nations","Rugby Union","White Sport Keyword"
"Argentine Primera","Soccer","White Sport Keyword"
"Carrera Cup","Motor Sports","White Sport Keyword"
"College Hoops","Basketball","White Sport Keyword"
"Copa Sudamericana","Soccer","White Sport Keyword"
"Dakar Rally","Motor Sports","White Sport Keyword"
"Formula One","Motor Sports","White Sport Keyword"
"Formula Two","Motor Sports","White Sport Keyword"
"Heineken Cup","Rugby Union","White Sport Keyword"
"Monster Jam","Motor Sports","White Sport Keyword"
"Stankovic Cup","Basketball","White Sport Keyword"
"Tour of Lombardy","Cycling","White Sport Keyword"
"Touring Car","Motor Sports","White Sport Keyword"
"Danone Nations Cup","Soccer","White Sport Keyword"
"European Qualifier","Soccer","White Sport Keyword"
"Formula Ford","Motor Sports","White Sport Keyword"
"Four Nations","Rugby League","White Sport Keyword"
"French Top 14","Rugby Union","White Sport Keyword"
"La Giostra dei gol","Soccer","White Sport Keyword"
"Ladies European Tour","Golf","White Sport Keyword"
"Australian GT","Motor Sports","White Sport Keyword"
"Blue Square Premier","Soccer","White Sport Keyword"
"Formula Drift","Motor Sports","White Sport Keyword"
"League Championship","Soccer","White Sport Keyword"
"Margaret River Pro","Surfing","White Sport Keyword"
"Protathlima Elladas","Soccer","White Sport Keyword"
"Protathlima Ellados","Soccer","White Sport Keyword"
"Race to Dakar","Motor Sports","White Sport Keyword"
"Scottish League Cup","Soccer","White Sport Keyword"
"World Cup Qualifier","Soccer","White Sport Keyword"
"AFC Champions League","Soccer","White Sport Keyword"
"Amlin Challenge","Rugby Union","White Sport Keyword"
"Anglo-Welsh Cup","Rugby Union","White Sport Keyword"
"Chequered Flag","Motor Sports","White Sport Keyword"
"Fujitsu Series","Motor Sports","White Sport Keyword"
"Rugby World Cup","Rugby Union","White Sport Keyword"
"World Cup Indoors","Lawn Bowls","White Sport Keyword"
"Aviva Premiership","Rugby Union","White Sport Keyword"
"Brisbane International","Tennis","White Sport Keyword"
"Island of Origin","Rugby League","White Sport Keyword"
"PSA World Super Series","Squash","White Sport Keyword"
"RaboDirect Pro 12","Rugby Union","White Sport Keyword"
"World Series Classics","Cricket","White Sport Keyword"
"AFC World Cup Qualifier","Soccer","White Sport Keyword"
"MX Nationals 2011","Motor Sports","White Sport Keyword"
"Superstars Series","Motor Sports","White Sport Keyword"
"Trans Tasman Test","Rugby League","White Sport Keyword"
"Euro Hockey League","Field Hockey","White Sport Keyword"
"Rally Championship","Motor Sports","White Sport Keyword"
"Shannons Nationals","Motor Sports","White Sport Keyword"
"World Cup 2014 Qualifier","Soccer","White Sport Keyword"
"La Grande Giostra dei Gol","Soccer","White Sport Keyword"
"Australian Schoolboys","Rugby Union","White Sport Keyword"
"College Football","American Football","White Sport Keyword"
"Intercontinental Rally","Motor Sports","White Sport Keyword"
"Superstars International","Motor Sports","White Sport Keyword"
"First Test - Australia v India","Cricket","White Sport Keyword"
"Football League Highlights Show","Soccer","White Sport Keyword"
"Third Test - Australia v India","Cricket","White Sport Keyword"
"Fourth Test - Australia v India","Cricket","White Sport Keyword"
"Second Test - Australia v India","Cricket","White Sport Keyword"
"International Super Series ","Field Hockey","White Sport Keyword"
"Lanco International Super Series","Field Hockey","White Sport Keyword"
"Hockey: International Super Series","Field Hockey","White Sport Keyword"
