"AFL","AFL","White Sport Name"
"American Football","American Football","White Sport Name"
"Baseball","Baseball","White Sport Name"
"Basketball","Basketball","White Sport Name"
"Boxing","Boxing","White Sport Name"
"Cricket","Cricket","White Sport Name"
"Cue Sports","Cue Sports","White Sport Name"
"Cycling","Cycling","White Sport Name"
"Darts","Darts","White Sport Name"
"Field Hockey","Field Hockey","White Sport Name"
"Fighting","Fighting","White Sport Name"
"Fishing","Fishing","White Sport Name"
"Golf","Golf","White Sport Name"
"Ice Hockey","Ice Hockey","White Sport Name"
"Lawn Bowls","Lawn Bowls","White Sport Name"
"Motor Sports","Motor Sports","White Sport Name"
"Netball","Netball","White Sport Name"
"Poker","Poker","White Sport Name"
"Racing","Racing","White Sport Name"
"Rodeo","Rodeo","White Sport Name"
"Rugby League","Rugby League","White Sport Name"
"Rugby Union","Rugby Union","White Sport Name"
"Soccer","Soccer","White Sport Name"
"Squash","Squash","White Sport Name"
"Surfing","Surfing","White Sport Name"
"Table Tennis","Table Tennis","White Sport Name"
"Tennis","Tennis","White Sport Name"
"Triathlon","Triathlon","White Sport Name"
"Volleyball","Volleyball","White Sport Name"